raw_category,group,subcategory,emoji,color
" Active sport, fitness",Life & Entertainment,"Active sport, fitness",🏃,
"Active sport, fitness",Life & Entertainment,"Active sport, fitness",🏃,
Alat-alat rumah,Housing,Alat-alat rumah,🧰,
"Books, audio, subscriptions",Life & Entertainment,"Books, audio, subscriptions",📚,
"Books, subscriptions",Life & Entertainment,"Books, subscriptions",📖,
"Caffe, coffee",Food & Drinks,"Caffe, coffee",☕,
"Charges, Fees",Financial Expenses,"Charges, Fees",💸,
"Charity, gifts",Life & Entertainment,"Charity, gifts",🎗,
Coffee,Food & Drinks,Coffee,☕,
"Drugs, health",Life & Entertainment,"Drugs, health",💊,
Education,Life & Entertainment,Education,🎓,
"Energy, utilities",Housing,"Energy, utilities",💡,
Entertainments,Life & Entertainment,Entertainments,🎬,
Fashions,Shopping,Fashions,👗,
Financial expenses,Financial Expenses,,💰,
Financial investments,Investments,Financial investments,📊,
Food,Food & Drinks,Food,🍴,
Food & Drinks,Food & Drinks,,🍔,
Free time,Shopping,Free time,🎲,
Fuel,Vehicle,Fuel,⛽,
"Gadgets, electronics",Shopping,"Gadgets, electronics",📱,
Galon + Gas,Housing,Galon + Gas,🛢,
Gifts,Income,Gifts,🎁,
"Gifts, joy",Shopping,"Gifts, joy",🎀,
Gojek/Grab,Transportation,Gojek/Grab,🛵,
Groceries,Food & Drinks,Groceries,🛒,
"Health care, doctor",Life & Entertainment,"Health care, doctor",🩺,
Hobbies,Life & Entertainment,Hobbies,🎨,
"Holiday, trips, hotels",Life & Entertainment,"Holiday, trips, hotels",🏖,
"Home, garden",Shopping,"Home, garden",🪴,
Housing,Housing,,🏠,
Income,Income,,💵,
Insurances,Housing,Insurances,🛡,
"Interests, dividends",Income,"Interests, dividends",💹,
Internet,Communication / PC,Internet,🌐,
Investments,Investments,,📈,
Jajan,Food & Drinks,Jajan,🍡,
"Jewels, accessories",Shopping,"Jewels, accessories",💍,
Laundry,Housing,Laundry,🧺,
"Lending, renting",Income,"Lending, renting",🤝,
Life,Life & Entertainment,Life,🌿,
Life events,Life & Entertainment,Life events,🎉,
Loan,Financial Expenses,Loan,🏦,
Long distance,Transportation,Long distance,🚆,
"Maintenance, repairs",Housing,"Maintenance, repairs",🔧,
Missing,Others,Missing,❔,
Operational,Financial Expenses,Operational,📋,
Others,Others,,📦,
Parents,Others,Parents,👪,
Parking,Vehicle,Parking,🅿,
Personal developments,Life & Entertainment,Personal developments,🌱,
"Pets, animals",Shopping,"Pets, animals",🐾,
"Phone, cell phone",Communication / PC,"Phone, cell phone",📞,
Public transport,Transportation,Public transport,🚌,
"Refunds (tax, purchase)",Income,"Refunds (tax, purchase)",🔄,
Rent,Housing,Rent,🔑,
"Restaurant, fast-food",Food & Drinks,"Restaurant, fast-food",🍽,
Salary,Income,Salary,💼,
"Salary, wage, invoices",Income,"Salary, wage, invoices",🧾,
Sale,Income,Sale,🏷,
Self-cares,Life & Entertainment,Self-cares,🧖,
Service,Housing,Service,🧹,
Shopping,Shopping,,🛍,
"Software, apps, games",Communication / PC,"Software, apps, games",🎮,
"Stationery, tools",Shopping,"Stationery, tools",✏,
TRANSFER,Transfer,,🔁,
Taxes,Financial Expenses,Taxes,🧾,
Taxi,Transportation,Taxi,🚕,
Transportation,Transportation,,🚌,
Unexpected Events,Life & Entertainment,Unexpected Events,⚡,
Vehicle,Vehicle,,🚗,
Vehicle maintenance,Vehicle,Vehicle maintenance,🔧,
Washing,Life & Entertainment,Washing,🧴,
"Wellness, beauty",Life & Entertainment,"Wellness, beauty",💅,
